H1_LABEL,H1_TEXT,H2_LABEL,H2_TEXT,H3_LABEL,H3_TEXT,H4_LABEL,H4_TEXT
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Responding and composing","In the English K–10 Syllabus, the study of English is an active pursuit where students use language to learn about language. The key processes of responding to and composing texts are central to students using language purposefully and meaningfully and engaging with a wide range of texts.n‘Responding’ is the activity that occurs as students read, listen to or view texts. It encompasses the personal and intellectual connection a student makes with texts. It also recognises that students and the texts to which they respond reflect social contexts. Responding typically involves:nshaping and arranging textual elements to explore and express ideas, emotions and valuesnidentifying, comprehending, selecting, articulating, imagining, critically analysing and evaluating.nIn this syllabus, ‘composing’ is the activity that occurs as students produce written, spoken or visual texts. Composing typically involves:nshaping, making and arranging textual elements to explore and express ideas, emotions and valuesnprocesses of imagining, drafting, appraising, reflecting and refiningnknowledge, understanding and use of the language forms, features and structures of texts.nAs students undertake the key processes of responding to and composing texts in their study of English, they undertake a number of other integrated and concurrent processes which also highlight the importance of students as active users and learners of language. The processes in this syllabus are intended to emphasise student agency through students developing and applying knowledge and understanding of context and language forms and features, and reflecting on their learning. In addition to the key processes of responding and composing, these processes include:nengaging personally with textsndeveloping and applying contextual knowledgenunderstanding and applying knowledge of language forms and features.nThe key processes also help to organise and emphasise content in this syllabus within and across stages of learning.","Use of terminology","The generic terms ‘composer’ and ‘compose’ can be used in preference to ‘author’ and ‘create’ as used in the Australian Curriculum. The use of the terms ‘composer’ and ‘compose’ does not preclude use of specific nomenclature such as ‘poet’, ‘writer’, ‘novelist’ or ‘playwright’ by teachers and students where appropriate."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Content and text requirements for Early Stage 1 to  Stage 3","In this syllabus, the study of a wide range of texts is central to the study of English. This includes the study of texts which are widely regarded as quality literature, providing students with the opportunity for aesthetic experience and to develop an appreciation of the artistic expression found in texts.nIn the primary years of schooling, the study of text types, as part of a broader study of texts, is intended to facilitate student literacy skills and help to establish knowledge about the purpose and audience, structures and language features of a broader range of texts. In the categorisation of texts into ‘text types’, it is important to note that any such classification is to some extent arbitrary and that there is always likely to be overlap between ways of grouping and defining texts.nWhile delivering courses that reflect the outcomes and content, the following text requirements should be addressed.nStudents in K–6 must read, listen to and view a variety of texts that are appropriate to their needs, interests and abilities. These texts become increasingly sophisticated as students move from Kindergarten to Year 6.nIn each Year students must study examples of:nspoken textsnprint textsnvisual textsnmedia, multimedia and digital texts.nAcross a stage of learning, the selection of texts must give students experience of:ntexts which are widely regarded as quality literaturena widely defined Australian literature, including texts that give insights into Aboriginal experiences in Australiana wide range of literary texts from other countries and times, including poetry, drama scripts, prose fiction and picture booksntexts written about intercultural experiencesntexts that provide insights about the peoples and cultures of Asianeveryday and community textsna wide range of factual texts that present information, issues and ideasntexts that include aspects of environmental and social sustainabilitynan appropriate range of digital texts, including film, media and multimedia.nIn selecting specific texts for study in English, teachers should consider the needs, interests and abilities of their students and the ethos of the school and its local community.nNote: students with disability may not be able to use all or some of the language modes. Some students with disability communicate through a variety of verbal or non-verbal communication systems or techniques. It is important to take account of the individual communication strategies used by these students and make appropriate curriculum adjustments.","Use of terminology","The generic terms ‘composer’ and ‘compose’ can be used in preference to ‘author’ and ‘create’ as used in the Australian Curriculum. The use of the terms ‘composer’ and ‘compose’ does not preclude use of specific nomenclature such as ‘poet’, ‘writer’, ‘novelist’ or ‘playwright’ by teachers and students where appropriate."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Content and text requirements for Stage 4","Over Stage 4, students must read, listen to and view a variety of texts that are appropriate to their needs, interests and abilities. These texts become increasingly sophisticated as students move from Stage 3 to Stage 4 and from Stage 4 to Stage 5.nStudents undertake the essential content and work towards course outcomes through close reading of, listening to or viewing the following:nThe following specifications may be fulfilled through the required types of texts outlined above and/or through other texts.nIn each Year of Stage 4 students must study examples of:nspoken textsnprint textsnvisual textsnmedia, multimedia and digital texts.nAcross the stage, the selection of texts must give students experience of:ntexts which are widely regarded as quality literaturena widely defined Australian literature, including texts that give insights into Aboriginal experiences in Australiana wide range of literary texts from other countries and times, including poetry, drama scripts, prose fiction and picture booksntexts written about intercultural experiencesntexts that provide insights about the peoples and cultures of Asianeveryday and workplace textsna wide range of cultural, social and gender perspectives, popular and youth culturesntexts that include aspects of environmental and social sustainabilitynnonfiction, picture books, graphic novelsnan appropriate range of digital texts, including film, media and multimedia.nIn selecting specific texts for study in English, teachers should consider the needs, interests and abilities of their students and the ethos of the school and its local community.nNote: students with disability may not be able to use all or some of the language modes. Some students with disability communicate through a variety of verbal or non-verbal communication systems or techniques. It is important to take account of the individual communication strategies used by these students and make appropriate curriculum adjustments.","Use of terminology","The generic terms ‘composer’ and ‘compose’ can be used in preference to ‘author’ and ‘create’ as used in the Australian Curriculum. The use of the terms ‘composer’ and ‘compose’ does not preclude use of specific nomenclature such as ‘poet’, ‘writer’, ‘novelist’ or ‘playwright’ by teachers and students where appropriate."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Content and text requirements for Stage 5","Over Stage 5, students must read, listen to and view a variety of texts that are appropriate to their needs, interests and abilities. These texts become increasingly sophisticated as students move from Stage 4 to Stage 5.nStudents undertake the essential content and work towards course outcomes through close reading of, listening to or viewing the following:nThe following specifications may be fulfilled through the required types of texts outlined above and/or through other texts.nIn each Year of Stage 5 students must study examples of:nspoken textsnprint textsnvisual textsnmedia, multimedia and digital texts.nAcross the stage, the selection of texts must give students experience of:ntexts which are widely regarded as quality literaturena widely defined Australian literature, including texts that give insights into Aboriginal experiences in Australiana wide range of literary texts from other countries and times, including poetry, drama scripts, prose fiction and picture booksntexts written about intercultural experiencesntexts that provide insights about the peoples and cultures of AsianShakespearean dramaneveryday and workplace textsna wide range of cultural, social and gender perspectives, popular and youth culturesntexts that include aspects of environmental and social sustainabilitynnonfiction, picture books, graphic novelsnan appropriate range of digital texts, including film, media and multimedia.nIn selecting specific texts for study in English, teachers should consider the needs, interests and abilities of their students and the ethos of the school and its local community.nNote: students with disability may not be able to use all or some of the language modes. Some students with disability communicate through a variety of verbal or non-verbal communication systems or techniques. It is important to take account of the individual communication strategies used by these students and make appropriate curriculum adjustments.","Use of terminology","The generic terms ‘composer’ and ‘compose’ can be used in preference to ‘author’ and ‘create’ as used in the Australian Curriculum. The use of the terms ‘composer’ and ‘compose’ does not preclude use of specific nomenclature such as ‘poet’, ‘writer’, ‘novelist’ or ‘playwright’ by teachers and students where appropriate."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Aboriginal and Torres Strait Islander histories and cultures","The Aboriginal and Torres Strait Islander histories and cultures cross-curriculum area encompasses the concepts of Country and Place, People, Culture and Identity. In their study of English, students have the opportunity to engage with texts that give them experience of the beliefs and value systems of Aboriginal and Torres Strait Islander peoples. Students develop knowledge and understanding of Aboriginal and Torres Strait Islander history and culture in Australia. In their study of English, students explore a range of experiences and achievements of Aboriginal peoples in historical and social contexts and the links between cultural expression, language and spirituality.nWhen planning and programming content relating to Aboriginal and Torres Strait Islander histories and cultures, teachers are encouraged to:ninvolve local Aboriginal communities and/or appropriate knowledge holders in determining suitable resources, or to use Aboriginal or Torres Strait Islander authored or endorsed publicationsnread the Principles and Protocols relating to teaching and learning about Aboriginal and Torres Strait Islander histories and cultures and the involvement of local Aboriginal communities."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Asia and Australia’s engagement with Asia","The study of English provides learning opportunities for students to explore and appreciate the rich tradition of texts from and about the peoples and countries of Asia, including texts written by Asian authors. They develop an understanding of the many languages and diverse Asian cultures and how they have influenced Australian culture. Through their study, students develop an appreciation of the role Australia has played in Asia and the ongoing relationship Australia has developed with the countries that make up the Asian region."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Sustainability","The study of English provides students with the skill required to investigate and understand issues of environmental and social sustainability, to communicate information about sustainability, and to advocate action to improve sustainability.nIf people now and into the future are to be treated fairly, action to improve sustainability needs to be informed by a worldview of people, places and communities. Both literature and literacy are key elements in the development of each student’s worldview. More sustainable patterns of living are largely shaped by people’s behaviours. English provides an important means of influencing behaviours, facilitating interaction and expressing viewpoints through the creation of texts for a range of purposes, audiences and contexts, including multimodal texts and the use of visual language."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Critical and creative thinking","Students develop critical and creative thinking by seeking new pathways or solutions when they evaluate knowledge, ideas and possibilities. English provides students with opportunities to think in ways that are critical and creative using information and ideas and arguments to respond to and compose texts, evaluate their own work and the work of others, and plan for future learning. These skills are integral to activities that require reason, logic, imagination and innovation. In learning to think broadly and deeply students use reason and imagination to direct their thinking for different purposes."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Ethical understanding","The study of English provides students with opportunities to strengthen their capacity for ethical understanding and commitment to ethical behaviour for occasions when they face uncertainty and conflicting claims in a range of contexts.nOpportunities arise for students to engage with situations or circumstances from the real or virtual worlds, or the imaginative worlds of texts that involve ethical or moral issues, dilemmas or decisions as they respond to and compose texts. Ethical issues are integral to many of the texts that students encounter in English."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Information and communication technology capability","The study of English enables students to develop and apply knowledge, understanding and skills of ICT in their composing, responding and presenting, and as part of the imaginative and critical thinking they undertake in English.nStudents have the opportunity to become competent, discriminating and creative users of ICT as they learn to use ICT effectively and appropriately when investigating, creating and communicating ideas and information. Students learn about the ethics of information communication through technology."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Intercultural understanding","Students develop intercultural understanding as they learn to understand their own identity in relation to others from different cultures and backgrounds.nThe study of English offers rich opportunities for intercultural understanding and exchange. Students experience a range of literature from different cultures, including the inscriptional and oral narrative traditions of Aboriginal people and Torres Strait Islander people, as well as the contemporary literature of these two cultural groups. They also read classic and contemporary world literature, including texts from and about Asia."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Literacy","[Literacy is embedded throughout the English K–10 Syllabus. It relates to a high proportion of the content descriptions across K–10. Consequently, this particular general capability is not tagged in this syllabus.]nLiteracy is the ability to use a repertoire of knowledge and skills to communicate and comprehend effectively in a wide variety of contexts, modes and media. Literacy knowledge and skills provide students with the foundations for current and future learning and for participation in the workplace and wider society. The knowledge and skills also provide opportunities for personal enrichment through social interaction, further education, training and skilled employment and a range of cultural pursuits, including engagement with literature and the arts. Literacy knowledge and skills also enable students to better understand and negotiate the world in which they live and to contribute to a democratic society through becoming ethical and informed citizens.nBeing ‘literate’ is more than the acquisition of technical skills: it includes the ability to identify, understand, interpret, create and communicate purposefully using written, visual and digital forms of expression and communication for a number of purposes in different contexts. The English learning area has a particular role in developing literacy because of its inherent focus on language and meaning. However, all curriculum areas have a responsibility for the general literacy requirements of students as they construct meaning for themselves and others.nThe established functions of speaking and listening, reading and writing, and viewing and representing remain central to being literate together with literacy demands related to a range of visual and multimodal texts, as well as those that have evolved from the growth of digital technologies. Students today need the knowledge and skills required for judicious use of these technologies and to question, challenge and evaluate the role of these technologies and the wider implications of their use for contemporary society."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Numeracy","The study of English provides opportunities for students to develop their skills in numeracy by identifying and using numerical, measurement, spatial, graphical and statistical concepts and skills. Students strengthen their understanding of how issues and points of view that are based on data are represented in texts by developing their skills to identify, analyse and synthesise numerical information as they respond to the reliability of sources and methodology."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Personal and social capability","Students develop personal and social capability as they learn to understand and manage themselves, their relationships, lives, work and learning more effectively. There are many opportunities for students to develop personal and social capability in English. The study of English helps them to identify and express their own opinions, beliefs and responses and to interact confidently and appropriately in a range of social contexts. English provides students with opportunities to reflect on their own and others’ learning and to assess and adapt their individual and collaborative skills for learning with increasing independence and effectiveness."
"Organisation of Content","For Kindergarten to Year 10, courses of study and educational programs are based on the outcomes of syllabuses. The content describes in more detail how the outcomes are to be interpreted and used, and the intended learning appropriate for the stage. In considering the intended learning, teachers will make decisions about the sequence, the emphasis to be given to particular areas of content, and any adjustments required based on the needs, interests and abilities of their students.nThe knowledge, understanding and skills described in the outcomes and content provide a sound basis for students to successfully move to the next stage of learning.","Content and the use of terminology","","Learning across the curriculum","Learning across the curriculum content, including the cross-curriculum priorities and general capabilities, assists students to achieve the broad learning outcomes defined in the NESA K–10 Curriculum Framework and Statement of Equity Principles, and in the Melbourne Declaration on Educational Goals for Young Australians (December 2008).nCross-curriculum priorities enable students to develop understanding about and address the contemporary issues they face.nThe cross-curriculum priorities are:nAboriginal and Torres Strait Islander histories and culturesnAsia and Australia’s engagement with AsianSustainabilitynGeneral capabilities encompass the knowledge, skills, attitudes and behaviours to assist students to live and work successfully in the 21st century.nThe general capabilities are:nCritical and creative thinkingnEthical understandingnInformation and communication technology capabilitynIntercultural understandingnLiteracynNumeracynPersonal and social capabilitynThe NESA syllabuses include other areas identified as important learning for all students:nCivics and citizenshipnDifference and diversitynWork and enterprisenLearning across the curriculum content is incorporated, and identified by icons, in the content of the English K–10 Syllabus in the following ways:","Civics and citizenship","Civics and citizenship content involves knowledge and understanding of how our Australian society operates. In their study of English, students demonstrate their active participation by considering how civic issues are represented in the public arena, the socially responsible construction and use of media, and the representation of Australian images and significant Australians."
